algorithm,inputSize,averageTimeNs
linear search,100,35200
binary search,100,43433
selection sort,100,2133300
insertion sort,100,1446133
merge sort,100,1870400
quicksort,100,298366
linear search,500,155366
binary search,500,255466
selection sort,500,10756033
insertion sort,500,7978666
merge sort,500,3138266
quicksort,500,768900
linear search,1000,238033
binary search,1000,319133
selection sort,1000,8150666
insertion sort,1000,1136900
merge sort,1000,1389466
quicksort,1000,144566
linear search,5000,447433
binary search,5000,637766
selection sort,5000,40251566
insertion sort,5000,10557066
merge sort,5000,2070800
quicksort,5000,749033
linear search,10000,1196200
binary search,10000,1529200
selection sort,10000,114379200
insertion sort,10000,44629166
merge sort,10000,3246166
quicksort,10000,1372933
