location_id,name,area,location_type,latitude,longitude,is_active
1,Osu,Accra Metropolitan,community,5.556,-0.1769,1
2,Oxford Street,Osu,collection_point,5.557,-0.176,1
3,Cantonments,Accra Metropolitan,community,5.585,-0.182,1
4,Airport Residential,Accra Metropolitan,community,5.6,-0.178,1
5,Ridge,Accra Metropolitan,community,5.57,-0.195,1
6,West Ridge,Ridge,collection_point,5.569,-0.198,1
7,East Ridge,Ridge,collection_point,5.571,-0.192,1
8,Labone,Accra Metropolitan,community,5.565,-0.17,1
9,Labadi,Accra Metropolitan,community,5.56,-0.16,1
10,Tema Station,Accra Metropolitan,community,5.55,-0.21,1
11,Kotobabi,Accra Metropolitan,community,5.59,-0.2,1
12,Asylum Down,Accra Metropolitan,community,5.58,-0.205,1
13,Kanda,Accra Metropolitan,community,5.575,-0.19,1
14,Adabraka,Accra Metropolitan,community,5.565,-0.2,1
15,Makola,Accra Metropolitan,community,5.55,-0.205,1
16,Agbogbloshie,Accra Metropolitan,community,5.545,-0.215,1
17,Korle Gonno,Accra Metropolitan,community,5.54,-0.22,1
18,Chorkor,Accra Metropolitan,community,5.535,-0.23,1
19,James Town,Accra Metropolitan,community,5.53,-0.2,1
20,Usshertown,Accra Metropolitan,community,5.528,-0.195,1
21,Tesano,Ga East,community,5.61,-0.22,1
22,Achimota,Ga East,community,5.62,-0.23,1
23,Frafraha,Ga East,community,5.65,-0.24,1
24,Abokobi,Ga East,community,5.64,-0.21,1
25,Pantang,Ga East,community,5.63,-0.2,1
26,Taifa,Ga East,community,5.635,-0.215,1
27,Oyarifa,Ga East,community,5.645,-0.205,1
28,Ashongman,Ga East,community,5.625,-0.21,1
29,Baatsona,Ga East,community,5.615,-0.2,1
30,Kwabenya,Ga East,community,5.65,-0.23,1
31,Ablekuma,Ga West,community,5.6,-0.25,1
32,Darkuman,Ga West,community,5.59,-0.26,1
33,Mallam,Ga West,community,5.58,-0.27,1
34,Amasaman,Ga West,community,5.62,-0.3,1
35,Opeibi,Ga West,community,5.61,-0.29,1
36,Abossey Okai,Ga West,community,5.585,-0.255,1
37,Bubuashie,Ga West,community,5.595,-0.245,1
38,Santa Maria,Ga West,community,5.605,-0.28,1
39,Tema Community 1,Tema,community,5.67,-0.01,1
40,Tema Community 2,Tema,community,5.675,0.0,1
41,Tema Community 3,Tema,community,5.68,0.01,1
42,Tema Community 4,Tema,community,5.665,0.02,1
43,Tema Community 5,Tema,community,5.66,0.03,1
44,Tema Community 6,Tema,community,5.655,0.04,1
45,Tema Community 7,Tema,community,5.65,0.05,1
46,Tema Community 8,Tema,community,5.645,0.06,1
47,Tema Community 9,Tema,community,5.64,0.07,1
48,Tema Community 10,Tema,community,5.635,0.08,1
49,Tema Community 11,Tema,community,5.63,0.09,1
50,Tema Community 12,Tema,community,5.625,0.1,1
51,Kpone Landfill,Ga East,landfill,5.66,-0.1,1
52,Sodom Landfill,Ga South,landfill,5.52,-0.25,1
53,Opeibi Transfer Station,Ga West,transfer_station,5.61,-0.29,1
54,Korle Gonno Facility,Accra Metropolitan,facility,5.54,-0.22,1
55,Agbogbloshie Scrap Yard,Accra Metropolitan,facility,5.545,-0.215,1
56,Tema Waste Facility,Tema,facility,5.65,0.05,1
