road_id,from_location_id,to_location_id,distance_km,travel_time_minutes,road_condition_weight,is_one_way
1,1,2,1.44,3,1.7,0
2,1,3,6.2,30,1.7,0
3,1,4,1.42,5,1.5,0
4,2,3,4.76,10,1.1,0
5,2,4,6.61,20,1.4,0
6,2,5,2.2,9,1.2,0
7,3,4,9.62,45,1.6,1
8,3,5,4.08,18,1.3,1
9,3,6,7.98,29,1.2,0
10,4,5,2.99,13,1.0,1
11,4,6,5.17,17,1.2,0
12,4,7,6.04,16,1.7,0
13,5,6,5.59,21,1.8,0
14,5,7,7.51,31,1.0,1
15,5,8,7.05,27,1.4,0
16,6,7,1.19,4,1.5,0
17,6,8,2.14,5,1.3,0
18,6,9,2.29,6,1.5,0
19,7,8,8.81,24,1.0,0
20,7,9,9.77,22,1.9,0
21,7,10,1.73,8,1.0,0
22,8,9,2.39,9,1.8,1
23,8,10,4.7,16,0.9,0
24,8,11,3.07,10,0.8,0
25,9,10,9.71,28,0.9,0
26,9,11,2.26,5,1.7,0
27,9,12,9.89,35,1.0,0
28,10,11,6.97,34,1.4,0
29,10,12,3.59,16,1.7,0
30,10,13,6.69,28,1.1,0
31,11,12,5.71,12,2.0,1
32,11,13,1.06,2,1.6,0
33,11,14,1.68,4,1.4,0
34,12,13,2.38,10,1.3,0
35,12,14,1.58,7,1.3,0
36,12,15,2.08,6,1.0,0
37,13,14,9.87,23,1.4,0
38,13,15,3.9,9,0.8,0
39,13,16,9.32,38,1.9,0
40,14,15,7.89,33,1.4,0
41,14,16,9.83,40,1.4,0
42,14,17,6.14,25,1.7,1
43,15,16,9.67,39,1.2,1
44,15,17,2.23,8,1.5,0
45,15,18,5.61,23,1.0,0
46,16,17,1.55,4,1.1,0
47,16,18,7.06,29,1.2,0
48,16,19,2.57,10,1.7,1
49,17,18,6.18,14,1.5,0
50,17,19,9.55,46,0.9,1
51,17,20,3.18,9,1.1,0
52,18,19,7.67,31,1.6,0
53,18,20,4.15,13,1.4,0
54,18,21,3.79,9,1.9,0
55,19,20,3.47,16,0.9,1
56,19,21,2.43,8,1.1,1
57,19,22,2.24,9,1.2,0
58,20,21,3.33,10,1.4,1
59,20,22,9.84,22,1.4,0
60,20,23,9.56,19,1.4,0
61,21,22,8.79,24,1.7,0
62,21,23,7.42,31,1.8,0
63,21,24,6.41,16,1.6,1
64,22,23,3.29,15,1.5,0
65,22,24,8.8,31,1.5,1
66,22,25,7.03,31,2.0,0
67,23,24,1.77,6,0.9,0
68,23,25,7.79,30,1.1,0
69,23,26,8.11,17,2.0,0
70,24,25,5.91,27,1.2,0
71,24,26,1.38,3,0.9,0
72,24,27,8.6,18,1.0,0
73,25,26,9.49,37,1.8,0
74,25,27,3.44,15,0.9,0
75,25,28,4.0,14,1.7,0
76,26,27,5.71,20,1.4,0
77,26,28,2.27,10,1.0,0
78,26,29,7.72,38,1.6,1
79,27,28,7.67,38,1.1,1
80,27,29,5.52,14,1.2,0
81,27,30,6.21,20,1.9,0
82,28,29,4.79,12,0.9,0
83,28,30,5.78,12,1.1,0
84,28,31,7.65,22,1.7,1
85,29,30,1.8,8,2.0,0
86,29,31,9.96,36,1.4,0
87,29,32,1.65,6,0.9,0
88,30,31,4.88,17,1.4,1
89,30,32,4.48,13,1.9,0
90,30,33,1.58,7,1.2,0
91,31,32,7.66,33,0.9,0
92,31,33,1.75,6,1.5,1
93,31,34,8.27,24,0.9,0
94,32,33,2.52,7,1.1,0
95,32,34,6.31,28,1.6,0
96,32,35,9.65,31,1.6,0
97,33,34,3.93,17,0.8,0
98,33,35,2.92,7,1.9,1
99,33,36,4.56,18,1.0,1
100,34,35,2.94,7,1.6,0
101,34,36,3.9,11,1.0,1
102,34,37,5.04,14,1.0,0
103,35,36,3.7,17,1.8,0
104,35,37,6.73,14,1.8,0
105,35,38,6.61,14,1.4,0
106,36,37,3.91,7,1.9,0
107,36,38,2.52,5,1.1,0
108,36,39,4.14,14,1.6,0
109,37,38,4.19,19,2.0,0
110,37,39,6.44,14,1.4,1
111,37,40,3.03,9,1.3,0
112,38,39,4.93,12,1.7,0
113,38,40,2.68,10,0.9,1
114,38,41,9.6,20,1.1,0
115,39,40,6.83,27,1.2,0
116,39,41,6.26,16,1.6,0
117,39,42,9.87,47,1.1,0
118,40,41,8.06,17,1.1,0
119,40,42,4.98,14,1.8,0
120,40,43,7.41,34,1.2,0
121,41,42,3.39,15,1.4,1
122,41,43,9.89,43,1.8,1
123,41,44,1.76,6,1.8,0
124,42,43,3.85,11,1.9,0
125,42,44,4.56,12,1.0,0
126,42,45,6.31,13,1.3,0
127,43,44,5.04,24,1.4,1
128,43,45,4.6,17,1.2,0
129,43,46,4.99,18,1.0,0
130,44,45,7.73,25,1.7,0
131,44,46,1.42,4,1.4,0
132,44,47,6.93,27,1.6,0
133,45,46,8.8,38,1.6,0
134,45,47,4.7,10,1.1,0
135,45,48,5.67,16,1.0,0
136,46,47,8.36,35,0.8,0
137,46,48,6.42,28,0.8,0
138,46,49,7.83,32,1.3,0
139,47,48,7.08,27,1.8,1
140,47,49,8.05,16,1.6,0
141,47,50,4.26,11,1.7,1
142,48,49,9.27,43,0.8,1
143,48,50,5.86,14,1.0,0
144,48,51,5.78,27,0.8,0
145,49,50,7.47,34,1.3,0
146,49,51,6.29,28,1.9,0
147,49,52,4.97,23,1.8,1
148,50,51,8.31,32,2.0,0
149,50,52,5.32,22,0.8,0
150,50,53,1.24,4,1.5,0
151,51,52,7.58,18,1.4,0
152,51,53,2.93,10,1.2,0
153,51,54,5.38,15,1.9,1
154,52,53,7.9,22,1.6,0
155,52,54,9.53,26,1.1,1
156,52,55,9.45,30,1.4,0
157,53,54,8.48,29,1.8,0
158,53,55,3.51,13,1.3,0
159,54,55,8.9,23,1.3,0
160,19,33,10.87,41,2.0,0
161,30,27,7.54,20,0.9,0
162,39,10,5.2,24,1.2,0
163,10,43,2.13,8,0.8,0
164,8,6,3.71,12,1.2,0
165,20,34,4.91,15,1.5,0
166,48,7,3.15,9,1.1,0
167,54,10,10.5,34,0.9,0
168,1,44,9.27,22,1.2,0
169,4,2,14.55,31,1.8,0
170,22,54,9.1,35,0.8,0
171,48,44,5.17,13,1.6,1
172,7,52,10.71,31,1.7,0
173,44,38,3.83,14,1.7,0
174,11,7,8.19,18,1.9,0
175,5,32,13.5,66,0.9,0
176,34,35,14.92,58,1.2,1
177,23,39,5.81,15,0.9,0
178,17,1,7.71,27,1.4,0
179,54,36,11.19,32,0.9,0
180,45,8,7.92,25,1.1,0
181,36,9,2.86,8,1.7,1
182,6,10,6.52,23,1.5,1
183,1,14,3.54,10,1.7,1
184,39,24,5.37,21,1.6,0
185,28,33,3.13,13,1.3,0
186,5,15,5.09,23,0.8,0
187,53,44,8.01,30,1.8,0
188,41,15,14.31,58,1.8,0
189,4,40,5.51,21,1.5,0
190,53,19,4.73,19,1.5,1
191,50,37,9.89,25,1.9,0
192,41,45,6.65,15,1.7,0
193,17,47,2.06,8,1.6,1
194,33,2,5.2,21,1.4,1
195,21,43,10.32,41,2.0,0
196,4,33,13.74,63,1.6,1
197,38,25,10.78,22,1.4,0
198,27,19,10.89,29,1.8,0
199,25,22,14.34,34,1.1,1
200,22,45,8.35,27,0.9,0
201,20,55,5.4,12,1.2,0
202,1,29,10.15,37,0.9,1
203,24,10,5.02,17,1.4,1
204,43,4,13.9,64,2.0,0
205,22,30,12.88,32,0.9,0
206,39,32,6.9,26,1.5,1
207,37,19,12.46,59,1.9,1
