truck_id,truck_name,truck_type,capacity_kg,home_location_id,availability_status,fuel_level
1,Compactor-001,compactor,8000,1,available,85
2,Compactor-002,compactor,8000,1,available,90
3,Compactor-003,compactor,8000,2,in_use,60
4,Compactor-004,compactor,8000,3,available,75
5,Compactor-005,compactor,8000,4,available,95
6,Compactor-006,compactor,8000,5,maintenance,0
7,Compactor-007,compactor,8000,6,available,80
8,Compactor-008,compactor,8000,7,available,70
9,Skip-001,skip,10000,1,available,88
10,Skip-002,skip,10000,2,available,92
11,Skip-003,skip,10000,3,in_use,45
12,Skip-004,skip,10000,4,available,78
13,Skip-005,skip,10000,5,available,65
14,Flatbed-001,flatbed,12000,1,available,82
15,Flatbed-002,flatbed,12000,2,available,90
16,Flatbed-003,flatbed,12000,3,in_use,55
17,Flatbed-004,flatbed,12000,4,out_of_service,0
18,Mini-001,mini_truck,3000,1,available,95
19,Mini-002,mini_truck,3000,2,available,88
20,Mini-003,mini_truck,3000,3,available,72
21,Mini-004,mini_truck,3000,4,available,85
22,Mini-005,mini_truck,3000,5,available,90
23,Mini-006,mini_truck,3000,6,in_use,40
24,Mini-007,mini_truck,3000,7,available,78
25,Mini-008,mini_truck,3000,8,available,82
26,Recycling-001,recycling,5000,1,available,90
27,Recycling-002,recycling,5000,2,available,85
28,Recycling-003,recycling,5000,3,available,70
29,Recycling-004,recycling,5000,4,available,92
30,Recycling-005,recycling,5000,5,available,88
