request_id,source_location_id,destination_location_id,category,urgency_level,weight_estimate_kg,volume_estimate_m3,time_submitted,deadline,status,assigned_truck_id,priority_score
1,49,56,commercial,4,310.6,3.11,2025-08-01 06:05:00,2025-08-11 18:00:00,completed,22,4.21
2,8,55,medical,3,168.9,1.69,2025-08-09 13:13:00,2025-08-10 18:00:00,pending,,3.09
3,35,55,medical,1,96.2,0.96,2025-08-01 15:57:00,2025-08-15 18:00:00,scheduled,14,1.53
4,43,55,household,1,379.7,3.8,2025-08-04 09:23:00,2025-08-12 18:00:00,pending,,1.9
5,5,54,medical,4,182.7,1.83,2025-08-09 07:10:00,2025-08-10 18:00:00,scheduled,13,4.21
6,31,51,construction,3,70.7,0.71,2025-08-01 18:20:00,2025-08-14 18:00:00,completed,4,3.54
7,46,54,household,3,236.4,2.36,2025-08-03 15:05:00,2025-08-14 18:00:00,in_progress,21,3.75
8,33,51,household,4,171.4,1.71,2025-08-09 12:08:00,2025-08-12 18:00:00,cancelled,23,4.52
9,29,55,medical,4,458.8,4.59,2025-08-01 09:36:00,2025-08-12 18:00:00,pending,,4.28
10,13,56,medical,3,371.9,3.72,2025-08-05 16:45:00,2025-08-10 18:00:00,scheduled,30,3.03
11,40,54,construction,1,239.9,2.4,2025-08-02 10:45:00,2025-08-13 18:00:00,scheduled,7,1.27
12,22,55,recyclable,5,493.2,4.93,2025-08-08 14:00:00,2025-08-13 18:00:00,cancelled,10,5.78
13,21,55,medical,1,262.7,2.63,2025-08-06 08:26:00,2025-08-15 18:00:00,pending,,1.09
14,45,55,recyclable,1,393.4,3.93,2025-08-04 08:07:00,2025-08-12 18:00:00,scheduled,1,1.94
15,34,55,medical,2,105.7,1.06,2025-08-08 16:34:00,2025-08-14 18:00:00,in_progress,27,2.95
16,10,54,industrial,4,267.6,2.68,2025-08-01 10:55:00,2025-08-12 18:00:00,in_progress,24,4.47
17,42,56,recyclable,3,113.2,1.13,2025-08-06 08:03:00,2025-08-15 18:00:00,cancelled,7,3.27
18,40,51,household,3,330.3,3.3,2025-08-05 13:21:00,2025-08-13 18:00:00,pending,,3.18
19,25,53,recyclable,4,425.5,4.25,2025-08-08 10:44:00,2025-08-13 18:00:00,in_progress,23,4.25
20,11,51,household,3,221.8,2.22,2025-08-04 15:39:00,2025-08-10 18:00:00,pending,,3.81
21,18,54,industrial,2,57.1,0.57,2025-08-08 10:46:00,2025-08-13 18:00:00,pending,,2.17
22,44,54,commercial,5,469.2,4.69,2025-08-04 08:25:00,2025-08-12 18:00:00,completed,23,5.07
23,1,56,medical,2,366.4,3.66,2025-08-05 09:37:00,2025-08-12 18:00:00,pending,,2.87
24,24,54,industrial,1,107.8,1.08,2025-08-06 11:57:00,2025-08-15 18:00:00,in_progress,29,1.17
25,35,51,commercial,4,229.5,2.29,2025-08-09 12:17:00,2025-08-13 18:00:00,pending,,4.19
26,19,55,recyclable,2,292.3,2.92,2025-08-04 09:09:00,2025-08-10 18:00:00,scheduled,1,2.65
27,37,54,medical,5,302.5,3.02,2025-08-01 10:35:00,2025-08-15 18:00:00,pending,,5.37
28,12,51,commercial,3,91.3,0.91,2025-08-09 08:50:00,2025-08-14 18:00:00,completed,6,3.62
29,22,56,commercial,5,478.8,4.79,2025-08-05 17:34:00,2025-08-10 18:00:00,completed,27,5.03
30,49,52,medical,4,424.1,4.24,2025-08-01 15:13:00,2025-08-15 18:00:00,completed,8,4.26
31,4,56,construction,5,443.3,4.43,2025-08-05 12:01:00,2025-08-14 18:00:00,pending,,5.82
32,45,51,industrial,5,289.6,2.9,2025-08-03 08:55:00,2025-08-13 18:00:00,pending,,5.32
33,38,52,household,4,289.3,2.89,2025-08-09 10:38:00,2025-08-14 18:00:00,pending,,4.44
34,42,55,recyclable,5,260.7,2.61,2025-08-05 17:09:00,2025-08-14 18:00:00,pending,,5.89
35,30,52,commercial,1,108.8,1.09,2025-08-04 12:19:00,2025-08-10 18:00:00,pending,,1.8
36,37,53,recyclable,5,113.1,1.13,2025-08-02 08:53:00,2025-08-13 18:00:00,scheduled,12,5.53
37,29,56,industrial,3,205.6,2.06,2025-08-01 06:27:00,2025-08-11 18:00:00,pending,,3.47
38,37,56,industrial,1,482.3,4.82,2025-08-06 12:07:00,2025-08-12 18:00:00,in_progress,21,1.83
39,5,53,recyclable,4,56.3,0.56,2025-08-07 16:00:00,2025-08-13 18:00:00,scheduled,15,4.66
40,47,54,household,2,275.1,2.75,2025-08-06 12:18:00,2025-08-14 18:00:00,pending,,2.81
41,23,55,household,1,315.2,3.15,2025-08-03 16:30:00,2025-08-12 18:00:00,cancelled,16,1.94
42,24,54,industrial,2,63.1,0.63,2025-08-06 07:47:00,2025-08-13 18:00:00,pending,,2.81
43,33,52,construction,1,451.4,4.51,2025-08-07 09:01:00,2025-08-15 18:00:00,scheduled,22,1.63
44,6,53,construction,2,243.4,2.43,2025-08-02 17:59:00,2025-08-12 18:00:00,completed,9,2.54
45,34,55,medical,3,111.8,1.12,2025-08-02 14:52:00,2025-08-12 18:00:00,scheduled,5,3.17
46,44,53,recyclable,5,57.2,0.57,2025-08-03 18:07:00,2025-08-13 18:00:00,scheduled,25,5.14
47,19,52,household,3,121.2,1.21,2025-08-08 17:42:00,2025-08-14 18:00:00,in_progress,10,3.44
48,11,53,recyclable,4,383.8,3.84,2025-08-02 17:35:00,2025-08-11 18:00:00,pending,,4.01
49,35,55,industrial,5,61.8,0.62,2025-08-09 09:22:00,2025-08-11 18:00:00,pending,,5.65
50,14,55,commercial,4,210.3,2.1,2025-08-09 18:04:00,2025-08-13 18:00:00,in_progress,8,4.11
51,12,56,medical,4,217.5,2.17,2025-08-04 11:40:00,2025-08-12 18:00:00,completed,17,4.56
52,42,54,medical,2,497.3,4.97,2025-08-06 16:07:00,2025-08-15 18:00:00,pending,,2.99
53,33,52,recyclable,5,69.8,0.7,2025-08-04 12:54:00,2025-08-13 18:00:00,completed,20,5.12
54,12,52,household,2,227.3,2.27,2025-08-08 13:34:00,2025-08-10 18:00:00,scheduled,4,2.33
55,50,52,industrial,2,192.6,1.93,2025-08-08 16:11:00,2025-08-12 18:00:00,pending,,2.47
56,11,52,commercial,2,60.8,0.61,2025-08-03 11:47:00,2025-08-13 18:00:00,scheduled,21,2.23
57,22,55,industrial,1,227.9,2.28,2025-08-03 15:05:00,2025-08-11 18:00:00,completed,10,1.89
58,45,52,recyclable,1,377.8,3.78,2025-08-07 06:03:00,2025-08-12 18:00:00,pending,,1.51
59,32,52,construction,3,293.8,2.94,2025-08-03 08:23:00,2025-08-13 18:00:00,cancelled,16,3.67
60,34,53,construction,5,492.5,4.92,2025-08-06 14:47:00,2025-08-15 18:00:00,scheduled,21,5.36
61,30,51,medical,1,283.6,2.84,2025-08-07 13:02:00,2025-08-13 18:00:00,in_progress,24,1.36
62,33,55,recyclable,1,390.4,3.9,2025-08-07 09:35:00,2025-08-14 18:00:00,scheduled,4,1.37
63,30,51,construction,5,458.7,4.59,2025-08-04 18:37:00,2025-08-14 18:00:00,pending,,5.08
64,47,52,commercial,3,405.9,4.06,2025-08-08 18:50:00,2025-08-11 18:00:00,completed,1,3.91
65,32,53,construction,5,225.6,2.26,2025-08-05 13:02:00,2025-08-10 18:00:00,pending,,5.24
66,50,51,medical,3,307.9,3.08,2025-08-09 17:24:00,2025-08-10 18:00:00,completed,16,3.98
67,49,54,commercial,4,308.4,3.08,2025-08-09 14:48:00,2025-08-13 18:00:00,cancelled,20,4.96
68,10,56,commercial,1,119.8,1.2,2025-08-08 12:52:00,2025-08-11 18:00:00,pending,,1.01
69,20,52,household,5,355.5,3.56,2025-08-05 18:01:00,2025-08-10 18:00:00,pending,,5.86
70,34,55,commercial,4,275.9,2.76,2025-08-02 14:48:00,2025-08-14 18:00:00,completed,28,4.04
71,13,52,commercial,2,488.9,4.89,2025-08-05 08:35:00,2025-08-14 18:00:00,pending,,2.05
72,3,52,recyclable,4,297.2,2.97,2025-08-04 11:33:00,2025-08-15 18:00:00,pending,,4.38
73,29,56,commercial,4,262.7,2.63,2025-08-02 12:44:00,2025-08-13 18:00:00,pending,,4.44
74,25,52,recyclable,2,271.4,2.71,2025-08-01 18:57:00,2025-08-12 18:00:00,pending,,2.87
75,17,52,medical,4,308.3,3.08,2025-08-07 11:04:00,2025-08-14 18:00:00,scheduled,16,4.31
76,49,51,medical,2,186.2,1.86,2025-08-05 08:57:00,2025-08-10 18:00:00,pending,,2.46
77,13,51,commercial,4,426.4,4.26,2025-08-05 14:03:00,2025-08-13 18:00:00,in_progress,12,4.81
78,45,51,household,2,310.9,3.11,2025-08-06 08:38:00,2025-08-14 18:00:00,pending,,2.66
79,18,56,industrial,5,148.5,1.49,2025-08-07 09:13:00,2025-08-14 18:00:00,in_progress,4,5.65
80,50,52,industrial,1,178.4,1.78,2025-08-07 14:46:00,2025-08-14 18:00:00,pending,,1.09
81,3,56,recyclable,4,358.8,3.59,2025-08-05 08:21:00,2025-08-15 18:00:00,pending,,4.08
82,48,55,commercial,5,293.6,2.94,2025-08-02 18:43:00,2025-08-15 18:00:00,in_progress,25,5.23
83,17,56,construction,3,97.4,0.97,2025-08-07 10:42:00,2025-08-14 18:00:00,in_progress,11,3.03
84,3,56,industrial,2,383.4,3.83,2025-08-04 06:22:00,2025-08-12 18:00:00,pending,,2.58
85,29,56,recyclable,1,93.4,0.93,2025-08-06 07:04:00,2025-08-15 18:00:00,in_progress,22,1.65
86,35,53,medical,3,469.6,4.7,2025-08-06 17:00:00,2025-08-11 18:00:00,in_progress,15,3.48
87,18,51,medical,1,136.6,1.37,2025-08-06 07:30:00,2025-08-12 18:00:00,scheduled,7,1.5
88,11,55,construction,5,217.8,2.18,2025-08-09 12:25:00,2025-08-11 18:00:00,pending,,5.37
89,18,51,construction,4,164.4,1.64,2025-08-04 13:09:00,2025-08-14 18:00:00,pending,,4.69
90,40,54,household,4,143.8,1.44,2025-08-05 06:48:00,2025-08-10 18:00:00,pending,,4.09
91,40,56,medical,3,369.9,3.7,2025-08-08 10:50:00,2025-08-15 18:00:00,scheduled,18,3.35
92,35,53,industrial,5,430.0,4.3,2025-08-05 09:23:00,2025-08-12 18:00:00,scheduled,16,5.77
93,3,54,construction,5,248.4,2.48,2025-08-01 11:30:00,2025-08-14 18:00:00,cancelled,26,5.66
94,6,56,construction,1,492.0,4.92,2025-08-04 15:24:00,2025-08-13 18:00:00,pending,,1.88
95,47,55,recyclable,4,384.7,3.85,2025-08-01 16:36:00,2025-08-15 18:00:00,in_progress,8,4.13
96,44,56,commercial,4,87.3,0.87,2025-08-07 11:52:00,2025-08-15 18:00:00,in_progress,3,4.68
97,22,54,recyclable,1,291.0,2.91,2025-08-03 10:23:00,2025-08-11 18:00:00,pending,,1.67
98,42,56,medical,5,298.2,2.98,2025-08-02 09:01:00,2025-08-14 18:00:00,pending,,5.16
99,50,55,industrial,1,172.8,1.73,2025-08-02 08:51:00,2025-08-14 18:00:00,pending,,1.37
100,17,56,commercial,4,242.2,2.42,2025-08-02 17:17:00,2025-08-10 18:00:00,cancelled,20,4.89
101,31,54,medical,1,473.4,4.73,2025-08-01 14:24:00,2025-08-15 18:00:00,completed,17,1.42
102,43,54,medical,1,115.3,1.15,2025-08-02 13:18:00,2025-08-14 18:00:00,pending,,1.16
103,4,55,household,2,58.3,0.58,2025-08-06 06:05:00,2025-08-14 18:00:00,pending,,3.0
104,46,53,recyclable,3,153.5,1.53,2025-08-05 06:12:00,2025-08-11 18:00:00,completed,8,3.27
105,32,56,medical,4,255.2,2.55,2025-08-03 15:44:00,2025-08-12 18:00:00,pending,,4.16
106,49,56,medical,1,76.6,0.77,2025-08-07 06:39:00,2025-08-10 18:00:00,pending,,1.36
107,38,53,medical,3,196.0,1.96,2025-08-03 13:01:00,2025-08-10 18:00:00,pending,,3.24
108,19,52,construction,5,371.7,3.72,2025-08-08 14:53:00,2025-08-11 18:00:00,in_progress,26,5.31
109,44,56,household,2,253.0,2.53,2025-08-02 13:31:00,2025-08-12 18:00:00,pending,,2.31
110,27,55,commercial,5,81.3,0.81,2025-08-09 09:20:00,2025-08-14 18:00:00,pending,,5.71
111,17,53,industrial,2,60.9,0.61,2025-08-07 09:55:00,2025-08-10 18:00:00,completed,16,2.6
112,35,51,recyclable,5,112.2,1.12,2025-08-06 09:46:00,2025-08-13 18:00:00,pending,,5.48
113,5,52,household,4,221.2,2.21,2025-08-06 18:10:00,2025-08-12 18:00:00,scheduled,23,4.02
114,24,52,construction,3,360.2,3.6,2025-08-03 18:31:00,2025-08-11 18:00:00,completed,17,3.29
115,20,52,recyclable,5,366.9,3.67,2025-08-07 07:45:00,2025-08-14 18:00:00,pending,,5.16
116,37,54,household,5,119.7,1.2,2025-08-08 18:13:00,2025-08-13 18:00:00,scheduled,14,5.39
117,47,56,commercial,5,79.8,0.8,2025-08-03 18:12:00,2025-08-13 18:00:00,scheduled,8,5.78
118,45,56,commercial,3,469.4,4.69,2025-08-08 13:18:00,2025-08-15 18:00:00,pending,,3.76
119,32,55,household,3,443.7,4.44,2025-08-05 06:11:00,2025-08-15 18:00:00,in_progress,16,3.97
120,43,56,medical,1,145.9,1.46,2025-08-08 13:47:00,2025-08-14 18:00:00,in_progress,22,1.73
121,39,54,construction,2,410.2,4.1,2025-08-06 16:15:00,2025-08-11 18:00:00,pending,,2.58
122,36,51,household,2,158.9,1.59,2025-08-01 15:23:00,2025-08-15 18:00:00,scheduled,27,2.52
123,43,51,commercial,1,216.5,2.17,2025-08-01 10:36:00,2025-08-11 18:00:00,pending,,1.1
124,22,54,construction,3,412.1,4.12,2025-08-08 09:11:00,2025-08-11 18:00:00,scheduled,3,3.85
125,23,53,medical,5,401.3,4.01,2025-08-01 16:29:00,2025-08-14 18:00:00,scheduled,7,5.54
126,25,53,industrial,3,389.2,3.89,2025-08-04 10:38:00,2025-08-11 18:00:00,completed,1,3.37
127,13,55,recyclable,5,128.3,1.28,2025-08-08 13:57:00,2025-08-10 18:00:00,pending,,5.22
128,24,51,construction,1,375.7,3.76,2025-08-07 06:23:00,2025-08-12 18:00:00,scheduled,2,1.99
129,45,53,recyclable,2,321.4,3.21,2025-08-01 16:05:00,2025-08-11 18:00:00,pending,,2.64
130,39,53,recyclable,4,323.6,3.24,2025-08-04 10:12:00,2025-08-11 18:00:00,completed,9,4.5
131,18,55,industrial,5,439.4,4.39,2025-08-02 12:42:00,2025-08-15 18:00:00,pending,,5.3
